date_of_issuance,date_of_expiry,providers_confidential,entities_to_whom_pic_granted_confidential,subject_matter_confidential,pic_granted,mat_established,notes,amendment_intent,usages_confidential,id,year_of_issuance,year_of_expiry
2018-10-31,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_122,2018,NA
2019-01-17,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_123,2019,NA
2019-01-17,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_124,2019,NA
2019-01-17,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_125,2019,NA
2018-06-25,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_126,2018,NA
2019-02-14,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_127,2019,NA
2019-01-24,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_128,2019,NA
2019-01-17,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_129,2019,NA
2019-01-24,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_130,2019,NA
2019-01-17,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_131,2019,NA
2019-01-24,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_132,2019,NA
2021-05-12,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_133,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_134,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_135,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_136,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_137,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_138,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_139,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_140,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_141,2021,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_142,2021,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_143,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_144,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_145,2020,NA
2021-05-12,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_146,2021,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_147,2020,NA
2021-05-12,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_148,2021,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_149,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_150,2020,NA
2021-05-12,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_151,2021,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_152,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_153,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_154,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_155,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_156,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_157,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_158,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_159,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_160,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_161,2020,NA
2020-02-18,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_162,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_163,2020,NA
2021-04-19,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_164,2021,NA
2020-12-14,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_165,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_166,2020,NA
2020-12-14,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_167,2020,NA
2020-12-14,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_168,2020,NA
2020-12-14,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_169,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_170,2020,NA
2020-02-18,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_171,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,0,FALSE,ircc_172,2020,NA
2020-02-14,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_173,2020,NA
2020-02-14,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_174,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_175,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_176,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_177,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_178,2020,NA
2020-10-29,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_179,2020,NA
2020-10-29,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_180,2020,NA
2020-10-29,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_181,2020,NA
2020-10-29,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_182,2020,NA
2020-10-29,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_183,2020,NA
2020-10-29,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_184,2020,NA
2020-06-09,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_185,2020,NA
2020-10-29,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_186,2020,NA
2020-02-14,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_187,2020,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_188,2021,NA
2020-02-18,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_189,2020,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_190,2021,NA
2020-02-14,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_191,2020,NA
2020-02-14,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_192,2020,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_193,2021,NA
